10, 10, 1, 0
10, 11, 1, 10000
11, 11, 1, 20000
11, 10, 1, 30000
10, 10, 1, 40000
10, 11, 1, 50000
9, 11, 1, 60000
9, 10, 1, 70000
10, 10, 1, 80000
10, 9, 1, 90000
11, 9, 1, 100000
11, 10, 1, 110000
11, 11, 1, 120000
12, 11, 1, 130000
12, 10, 1, 140000
12, 9, 1, 150000
11, 9, 1, 160000
10, 9, 1, 170000
9, 9, 1, 180000
9, 10, 1, 190000
8, 10, 1, 200000
8, 11, 1, 210000
8, 12, 1, 220000
9, 12, 1, 230000
10, 12, 1, 240000
11, 12, 1, 250000
12, 12, 1, 260000
13, 12, 1, 270000
14, 12, 1, 280000
14, 11, 1, 290000
15, 11, 1, 300000
15, 12, 1, 310000
15, 13, 1, 320000
15, 14, 1, 330000
15, 15, 1, 340000
14, 15, 1, 350000
13, 15, 1, 360000
12, 15, 1, 370000
11, 15, 1, 380000
10, 15, 1, 390000
9, 15, 1, 400000
8, 15, 1, 410000
7, 15, 1, 420000
7, 14, 1, 430000
7, 13, 1, 440000
7, 12, 1, 450000
7, 11, 1, 460000
7, 10, 1, 470000
7, 9, 1, 480000
8, 9, 1, 490000
9, 9, 1, 500000
10, 9, 1, 510000
11, 9, 1, 520000
12, 9, 1, 530000
13, 9, 1, 540000
14, 9, 1, 550000
15, 9, 1, 560000
16, 9, 1, 570000
17, 9, 1, 580000
17, 10, 1, 590000
17, 11, 1, 600000
17, 12, 1, 610000
17, 13, 1, 620000
17, 14, 1, 630000
17, 15, 1, 640000
17, 16, 1, 650000
16, 16, 1, 660000
15, 16, 1, 670000
14, 16, 1, 680000
13, 16, 1, 690000
12, 16, 1, 700000
11, 16, 1, 710000
10, 16, 1, 720000
9, 16, 1, 730000
8, 16, 1, 740000
7, 16, 1, 750000
6, 16, 1, 760000
5, 16, 1, 770000
4, 16, 1, 780000
3, 16, 1, 790000
2, 16, 1, 800000
1, 16, 1, 810000
0, 16, 1, 820000
0, 15, 1, 830000
0, 14, 1, 840000
0, 13, 1, 850000
0, 12, 1, 860000
0, 11, 1, 870000
0, 10, 1, 880000
0, 9, 1, 890000
0, 8, 1, 900000
0, 7, 1, 910000
1, 7, 1, 920000
2, 7, 1, 930000
3, 7, 1, 940000
4, 7, 1, 950000
5, 7, 1, 960000
6, 7, 1, 970000
7, 7, 1, 980000
7, 6, 1, 990000
